№ ,Date ,Artiste ,Titre ,Réf. 
1,5 janvier ,Camila Cabello featuring Young Thug ,Havana ,1 
2,12 janvier ,Ed Sheeran ,Perfect ,2 
3,19 janvier ,Camila Cabello featuring Young Thug ,Havana ,3 
4,26 janvier ,Kygo featuring Justin Jesso ,Stargazing (en) ,4 
5,2 février ,,,5 
6,9 février ,,,6 
7,16 février ,,,7 
8,23 février ,Camila Cabello featuring Young Thug ,Havana ,8 
9,2 mars ,,,9 
10,9 mars ,Kygo featuring Justin Jesso ,Stargazing ,10 
11,16 mars ,Tom Walker ,Leave a Light On (en) ,11 
12,23 mars ,,,12 
13,30 mars ,,,13 
14,6 avril ,,,14 
15,13 avril ,,,15 
16,20 avril ,,,16 
17,27 avril ,,,17 
18,4 mai ,David Guetta & Sia ,Flames ,18 
19,11 mai ,Maître Gims & Vianney ,La Même ,19 
20,18 mai ,David Guetta & Sia ,Flames ,20 
21,25 mai ,,,21 
22,1er juin ,,,22 
23,8 juin ,,,23 
24,15 juin ,,,24 
25,22 juin ,,,25 
26,29 juin ,Ariana Grande ,No Tears Left to Cry ,26 
27,6 juillet ,Cecilia Krull vs Gavin Moss ,My Life Is Going On ,27 
28,13 juillet ,,,28 
29,20 juillet ,,,29 
30,27 juillet ,,,30 
31,3 août ,,,31 
32,10 août ,,,32 
33,17 août ,,,33 
34,24 août ,,,34 
35,31 août ,Jain ,Alright ,35 
36,7 septembre ,,,36 
37,14 septembre ,,,37 
38,21 septembre ,,,38 
39,28 septembre ,,,39 
40,5 octobre ,Maroon 5 featuring Cardi B ,Girls Like You ,40 
41,12 octobre ,Calvin Harris & Sam Smith ,Promises ,41 
42,19 octobre ,,,42 
43,26 octobre ,,,43 
44,2 novembre ,George Ezra ,Shotgun ,44 
45,9 novembre ,,,45 
46,16 novembre ,,,46 
47,23 novembre ,,,47
